lsoa_code,Index of Multiple Deprivation (IMD) Score,Income Score (rate),Employment Score (rate),"Education, Skills and Training Score",Health Deprivation and Disability Score,Barriers to Housing and Services Score,Living Environment Score,crime_count,population,crime_rate,log_crime_rate,latitude,longitude
E01024525,16.346,0.11,0.105,13.801,-0.316,17.629,25.361,1,1514.0,0.66,0.5068176023684519,51.067294,1.089042
E01024529,29.291,0.148,0.158,53.239,0.098,32.522,7.101,1,1422.0,0.7,0.5306282510621704,51.068531,1.066223
E01024532,20.922,0.085,0.096,37.214,0.01,33.155,23.738,1,1263.0,0.79,0.5822156198526637,50.959159,0.963749
E01024535,27.033,0.148,0.131,42.825,-0.049,25.793,23.781,1,2397.0,0.42,0.3506568716131694,50.950875,0.905067
E01024541,24.186,0.163,0.139,29.699,0.051,25.769,2.545,2,2504.0,0.8,0.5877866649021191,51.117365500000005,1.1654335
E01024548,34.96,0.178,0.115,36.724,-0.01,35.259,60.808,2,1318.0,1.52,0.9242589015233319,50.9882315,0.8159345
E01024550,13.575,0.068,0.047,8.22,-0.787,39.959,31.03,1,2040.0,0.49,0.3987761199573678,51.096021,1.120599
E01024553,11.746,0.07,0.053,3.466,-0.774,13.351,36.326,3,2002.0,1.5,0.9162907318741551,51.314600000000006,0.8923506666666667
E01024558,13.968,0.049,0.042,9.604,-0.745,46.225,19.835,1,1730.0,0.58,0.4574248470388754,51.292045,0.975592
E01024559,27.566,0.16,0.115,28.483,0.717,17.597,27.008,1,1468.0,0.68,0.5187937934151675,51.34153,0.732174
E01024561,19.698,0.072,0.067,28.234,-0.295,18.005,38.067,2,2140.0,0.93,0.6575200029167941,51.343455,0.735239
E01024562,19.245,0.09,0.09,21.302,0.084,16.858,21.19,2,1670.0,1.2,0.7884573603642702,51.3428335,0.7256450000000001
E01024563,53.742,0.309,0.256,75.681,0.865,28.104,14.748,1,1700.0,0.59,0.4637340162321401,51.322878,0.890527
E01024564,12.77,0.052,0.046,14.376,0.06,25.523,4.96,1,1340.0,0.75,0.5596157879354227,51.324105,0.883441
E01024570,27.867,0.137,0.103,27.853,0.215,40.464,24.712,1,1905.0,0.52,0.41871033485818504,51.344255,0.635257
E01024576,13.121,0.059,0.059,17.095,-0.119,22.231,6.482,2,1669.0,1.2,0.7884573603642702,51.357436,0.740633
E01024580,68.633,0.272,0.262,90.253,1.124,43.685,57.48,10,2021.0,4.95,1.7833912195575383,51.398426900000004,0.9169677
E01024584,44.93,0.263,0.201,59.881,1.116,18.761,11.23,2,1911.0,1.05,0.7178397931503169,51.353076,0.739001
E01024587,26.547,0.123,0.109,34.253,0.078,31.644,29.763,2,1890.0,1.06,0.7227059828014898,51.429678,0.784384
E01024588,19.077,0.092,0.126,24.897,0.566,17.289,2.849,1,1702.0,0.59,0.4637340162321401,51.436624,0.796514
E01024591,30.935,0.167,0.116,41.159,0.214,43.686,9.718,1,2743.0,0.36,0.3074846997479606,51.340576,0.755222
E01024595,20.305,0.125,0.095,35.978,0.004,16.414,21.159,1,1579.0,0.63,0.48858001481867097,51.418629,0.775249
E01024597,57.571,0.323,0.239,90.964,1.094,29.06,20.622,3,1899.0,1.58,0.9477893989335261,51.408003,0.744894
E01024598,16.756,0.086,0.083,31.639,-0.167,20.31,15.502,1,1750.0,0.57,0.4510756193602166,51.42513,0.775326
E01024601,22.571,0.132,0.116,35.071,0.333,23.567,3.065,1,1718.0,0.58,0.4574248470388754,51.334972,0.744935
