lsoa_code,dominant_crime,latitude,longitude
E01000324,Violence and sexual offences,51.613082,-0.1646135
E01000325,Violence and sexual offences,51.464045,0.164424
E01000326,Violence and sexual offences,51.462953,0.171936
E01000327,Violence and sexual offences,51.461958,0.152001
E01000328,Violence and sexual offences,51.454745,0.164873
E01000329,Violence and sexual offences,51.455565,0.1560885
E01000330,Violence and sexual offences,51.457048,0.14911
E01000331,Violence and sexual offences,51.452655,0.163067
E01000332,Violence and sexual offences,51.4862115,0.1504545
E01000333,Violence and sexual offences,51.482109,0.14502
E01000334,Violence and sexual offences,51.481241,0.141686
E01000335,Violence and sexual offences,51.492378,0.153817
E01000336,Violence and sexual offences,51.490849,0.146382
E01000337,Violence and sexual offences,51.488166,0.143236
E01000338,Violence and sexual offences,51.489305,0.148687
E01000339,Violence and sexual offences,51.4386645,0.080942
E01000340,Violence and sexual offences,51.45249,0.089379
E01000341,Violence and sexual offences,51.449009,0.093137
E01000342,Violence and sexual offences,51.449438,0.08806
E01000343,Violence and sexual offences,51.449753,0.101757
E01000344,Violence and sexual offences,51.440914,0.087137
E01000345,Violence and sexual offences,51.4420395,0.09541050000000001
E01000346,Violence and sexual offences,51.447529,0.116349
E01000347,Violence and sexual offences,51.449252,0.104092
E01000348,Violence and sexual offences,51.446256,0.125465
E01000349,Violence and sexual offences,51.446695,0.132401
E01000350,Violence and sexual offences,51.445172,0.102803
E01000351,Violence and sexual offences,51.442465,0.117362
E01000352,Violence and sexual offences,51.449619,0.113586
E01000353,Violence and sexual offences,51.468958,0.146577
E01000354,Violence and sexual offences,51.4702125,0.137025
E01000355,Violence and sexual offences,51.465759,0.148029
E01000356,Violence and sexual offences,51.463918,0.132891
E01000357,Violence and sexual offences,51.468244,0.126469
E01000358,Violence and sexual offences,51.466119,0.145695
E01000359,Violence and sexual offences,51.473921,0.126316
E01000360,Violence and sexual offences,51.457419,0.139039
E01000361,Violence and sexual offences,51.453091,0.129906
E01000362,Violence and sexual offences,51.455806,0.147609
E01000363,Violence and sexual offences,51.451926,0.137282
E01000364,Violence and sexual offences,51.450843,0.150589
E01000365,Violence and sexual offences,51.458442500000004,0.146284
E01000366,Violence and sexual offences,51.461212,0.134141
E01000367,Violence and sexual offences,51.471727,0.176713
E01000368,Violence and sexual offences,51.468532,0.175927
E01000369,Violence and sexual offences,51.471622,0.170789
E01000370,Violence and sexual offences,51.46699,0.159018
E01000371,Violence and sexual offences,51.465622,0.174158
E01000372,Violence and sexual offences,51.474224,0.17058
E01000373,Violence and sexual offences,51.47432,0.178099
E01000374,Violence and sexual offences,51.457338,0.193535
E01000375,Violence and sexual offences,51.450583,0.185321
E01000376,Violence and sexual offences,51.456264,0.191005
E01000377,Violence and sexual offences,51.454966,0.176444
E01000379,Violence and sexual offences,51.446857,0.180763
E01000380,Violence and sexual offences,51.4617165,0.18189650000000002
E01000381,Violence and sexual offences,51.431314,0.132344
E01000382,Violence and sexual offences,51.430733,0.118688
E01000383,Violence and sexual offences,51.422238,0.132229
E01000384,Violence and sexual offences,51.420652,0.112658
E01000385,Violence and sexual offences,51.416919,0.12595
E01000386,Violence and sexual offences,51.417619,0.116947
E01000387,Violence and sexual offences,51.431471,0.125034
E01000388,Violence and sexual offences,51.458642,0.111596
E01000389,Violence and sexual offences,51.459155,0.127364
E01000390,Violence and sexual offences,51.452497,0.125075
E01000391,Violence and sexual offences,51.452918,0.108187
E01000392,Violence and sexual offences,51.462079,0.110793
E01000393,Violence and sexual offences,51.461879,0.1222
E01000394,Violence and sexual offences,51.461189,0.130204
E01000395,Violence and sexual offences,51.466479,0.087444
E01000396,Violence and sexual offences,51.461388,0.08862
E01000398,Violence and sexual offences,51.469178,0.094072
E01000399,Violence and sexual offences,51.465168,0.09376799999999999
E01000400,Violence and sexual offences,51.467933,0.100156
E01000401,Violence and sexual offences,51.467299,0.106233
E01000402,Violence and sexual offences,51.483372,0.156986
E01000403,Violence and sexual offences,51.479954,0.18213000000000001
E01000404,Violence and sexual offences,51.484391,0.173897
E01000405,Violence and sexual offences,51.486116,0.168516
E01000406,Violence and sexual offences,51.484079,0.164607
E01000407,Violence and sexual offences,51.4796595,0.166728
E01000408,Violence and sexual offences,51.490284,0.163145
E01000409,Violence and sexual offences,51.456816,0.102935
E01000410,Violence and sexual offences,51.457238,0.094587
E01000411,Violence and sexual offences,51.454998,0.099008
E01000412,Violence and sexual offences,51.459045,0.0830015
E01000413,Violence and sexual offences,51.4521955,0.098357
E01000414,Violence and sexual offences,51.463206,0.102383
E01000415,Violence and sexual offences,51.460402,0.092994
E01000416,Violence and sexual offences,51.494453,0.12426
E01000417,Violence and sexual offences,51.487504,0.123633
E01000418,Violence and sexual offences,51.491071500000004,0.129117
E01000419,Violence and sexual offences,51.4778345,0.126639
E01000420,Violence and sexual offences,51.480749,0.135073
E01000421,Violence and sexual offences,51.4758775,0.13221
E01000423,Violence and sexual offences,51.431631,0.080937
E01000424,Violence and sexual offences,51.427693,0.097896
E01000425,Violence and sexual offences,51.434688,0.08698
E01000426,Violence and sexual offences,51.42974,0.087248
E01000427,Violence and sexual offences,51.427052,0.09187
E01000428,Violence and sexual offences,51.421346,0.099775
E01000429,Violence and sexual offences,51.477483,0.185566
E01000430,Violence and sexual offences,51.475128,0.197027
E01000431,Violence and sexual offences,51.474655,0.182888
E01000433,Violence and sexual offences,51.46813,0.186296
E01000434,Violence and sexual offences,51.47028,0.195151
E01000435,Violence and sexual offences,51.464568,0.182302
E01000436,Violence and sexual offences,51.473447,0.140031
E01000437,Violence and sexual offences,51.476186,0.155134
E01000438,Violence and sexual offences,51.47592,0.160341
E01000439,Violence and sexual offences,51.474359,0.163316
E01000440,Violence and sexual offences,51.473245500000004,0.1491075
E01000441,Violence and sexual offences,51.472071,0.158537
E01000442,Violence and sexual offences,51.477498999999995,0.145589
E01000443,Violence and sexual offences,51.438668,0.122369
E01000444,Violence and sexual offences,51.437662,0.163614
E01000445,Violence and sexual offences,51.438051,0.127403
E01000446,Violence and sexual offences,51.441904,0.12395
E01000447,Violence and sexual offences,51.442232000000004,0.1513265
E01000448,Violence and sexual offences,51.440901,0.137903
E01000449,Violence and sexual offences,51.444887,0.143358
E01000450,Violence and sexual offences,51.475771,0.120774
E01000451,Violence and sexual offences,51.473316,0.118631
E01000452,Violence and sexual offences,51.470852,0.124474
E01000453,Violence and sexual offences,51.469085,0.120763
E01000454,Violence and sexual offences,51.470574,0.112611
E01000455,Violence and sexual offences,51.464834,0.113809
E01000456,Violence and sexual offences,51.465936,0.120022
E01000457,Violence and sexual offences,51.425662,0.102682
E01000458,Violence and sexual offences,51.429817,0.111214
E01000459,Violence and sexual offences,51.425818,0.107807
E01000460,Violence and sexual offences,51.439957,0.1014515
E01000461,Violence and sexual offences,51.435553999999996,0.116279
E01000462,Violence and sexual offences,51.433582,0.103318
E01000463,Violence and sexual offences,51.437426,0.090976
E01000464,Violence and sexual offences,51.492853,0.13181
E01000465,Violence and sexual offences,51.4932955,0.1392175
E01000466,Violence and sexual offences,51.49675,0.1314
E01000467,Violence and sexual offences,51.510437,0.123179
E01000468,Violence and sexual offences,51.51114,0.129397
E01000469,Violence and sexual offences,51.506436,0.123606
E01000470,Violence and sexual offences,51.497548,0.123669
E01000471,Violence and sexual offences,51.537315,-0.291161
E01000472,Violence and sexual offences,51.538257,-0.29868
E01000473,Violence and sexual offences,51.544387,-0.296548
E01000474,Violence and sexual offences,51.546529,-0.293103
E01000475,Violence and sexual offences,51.538911,-0.303567
E01000476,Violence and sexual offences,51.541516,-0.286655
